netstat -ano

Active Connections

  Proto  Local Address          Foreign Address        State           PID
  UDP    [fe80::fcb:c39a:efbf:6fbc%14]:64874  *:*                                    13804
  UDP    [fe80::2dd0:3caf:b292:b483%7]:1900  *:*                                    13804
  UDP    [fe80::2dd0:3caf:b292:b483%7]:6771  *:*                                    16060
  UDP    [fe80::2dd0:3caf:b292:b483%7]:6881  *:*                                    16060
  UDP    [fe80::2dd0:3caf:b292:b483%7]:52659  *:*                                    16060
  UDP    [fe80::2dd0:3caf:b292:b483%7]:64875  *:*                                    13804
  UDP    [fe80::b69b:82a0:2c8d:fc54%11]:1900  *:*                                    13804
  UDP    [fe80::b69b:82a0:2c8d:fc54%11]:6771  *:*                                    16060
  UDP    [fe80::b69b:82a0:2c8d:fc54%11]:6881  *:*                                    16060
  UDP    [fe80::b69b:82a0:2c8d:fc54%11]:52657  *:*                                    16060
  UDP    [fe80::b69b:82a0:2c8d:fc54%11]:64873  *:*                                    13804
  UDP    [fe80::f32c:c86d:3e20:8a9d%22]:6771  *:*                                    16060
  UDP    [fe80::f32c:c86d:3e20:8a9d%22]:52660  *:*                                    16060
